Jan	1950	102526.4709																					
	47.5	102555	102684	102810	102938	103083	103255	103438	103602	103711	103755	103753	103747	103767	103818	103879	103918	103909	103837	103704	103522	103308	
	50	102610	102729	102845	102958	103070	103185	103297	103393	103459	103495	103513	103540	103595	103687	103805	103923	104007	104016	103926	103732	103467	
	52.5	102597	102703	102808	102904	102989	103062	103122	103173	103214	103252	103296	103360	103460	103598	103770	103957	104113	104193	104158	103997	103740	
	55	102494	102585	102683	102777	102857	102919	102968	103008	103050	103100	103165	103257	103380	103539	103729	103930	104109	104224	104244	104158	103987	
	57.5	102363	102435	102515	102595	102664	102722	102772	102821	102880	102954	103049	103161	103292	103442	103602	103760	103898	103995	104036	104020	103953	
	60	102280	102325	102374	102424	102475	102525	102584	102657	102751	102864	102991	103127	103259	103378	103478	103552	103603	103630	103642	103644	103643	103235.1429
Jan	1961																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102514	102707	102911	103050	103093	103069	103046	103076	103158	103257	103335	103381	103411	103442	103465	103459	103402	103292	103149	102997	102858	
	42.5	102697	102874	103075	103254	103392	103507	103621	103741	103849	103915	103929	103907	103881	103871	103865	103834	103748	103597	103402	103193	103006	
	45	102940	103067	103221	103398	103598	103817	104038	104226	104343	104367	104315	104230	104154	104109	104079	104029	103927	103756	103534	103295	103075	
	47.5	103200	103284	103377	103502	103674	103886	104105	104280	104370	104363	104285	104181	104096	104045	104015	103972	103881	103724	103510	103268	103032	
	50	103288	103354	103410	103483	103593	103734	103881	103996	104046	104026	103960	103881	103824	103799	103798	103792	103748	103648	103485	103276	103052	
	52.5	103079	103143	103201	103266	103346	103440	103532	103600	103627	103615	103579	103545	103531	103549	103590	103637	103662	103639	103561	103429	103258	
	55	102689	102752	102826	102909	102998	103085	103162	103214	103242	103248	103245	103250	103274	103324	103396	103476	103546	103588	103589	103545	103465	
	57.5	102366	102419	102495	102583	102674	102758	102825	102873	102905	102929	102952	102981	103024	103080	103144	103211	103272	103322	103355	103371	103370	
	60	102206	102250	102310	102380	102450	102512	102564	102608	102646	102684	102726	102772	102817	102856	102887	102905	102914	102921	102935	102963	103007	103363.7354
Jan	1962																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102581	102674	102786	102870	102885	102852	102831	102880	103001	103137	103239	103298	103356	103439	103528	103569	103522	103384	103187	102972	102762	
	42.5	102684	102785	102905	103018	103111	103185	103261	103350	103448	103539	103615	103696	103804	103933	104037	104053	103946	103729	103452	103175	102933	
	45	102776	102868	102983	103133	103308	103486	103640	103742	103795	103817	103850	103935	104079	104244	104357	104355	104209	103946	103628	103316	103048	
	47.5	102867	102947	103050	103200	103393	103596	103760	103848	103861	103837	103839	103908	104048	104209	104319	104319	104186	103951	103658	103354	103072	
	50	102830	102912	103006	103132	103295	103468	103605	103676	103683	103660	103658	103710	103820	103948	104048	104073	104009	103862	103652	103402	103136	
	52.5	102573	102665	102766	102887	103029	103174	103296	103373	103409	103420	103438	103488	103570	103672	103767	103829	103842	103795	103681	103507	103285	
	55	102144	102249	102369	102503	102647	102789	102914	103011	103081	103132	103181	103241	103316	103404	103497	103577	103630	103638	103586	103472	103307	
	57.5	101687	101788	101911	102051	102197	102338	102467	102577	102668	102746	102818	102889	102965	103043	103117	103180	103215	103215	103171	103088	102980	
	60	101281	101362	101468	101591	101723	101855	101981	102098	102204	102300	102387	102469	102540	102599	102639	102655	102642	102603	102547	102485	102437	103184.4709
Jan	1963																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102407	102655	102878	103029	103098	103111	103118	103150	103214	103290	103360	103421	103486	103549	103584	103546	103403	103158	102857	102558	102308	
	42.5	102455	102643	102817	102953	103058	103164	103288	103423	103544	103631	103686	103732	103792	103863	103910	103879	103736	103483	103163	102841	102571	
	45	102594	102725	102857	102994	103153	103349	103569	103777	103932	104018	104050	104063	104090	104132	104154	104112	103973	103730	103414	103077	102770	
	47.5	102782	102880	102982	103107	103275	103489	103726	103947	104114	104211	104254	104271	104286	104299	104289	104226	104081	103844	103526	103163	102796	
	50	102878	102959	103039	103137	103270	103437	103630	103822	103986	104118	104214	104283	104328	104350	104335	104267	104132	103915	103616	103250	102852	
	52.5	102808	102887	102965	103052	103155	103276	103415	103566	103721	103873	104016	104139	104234	104291	104306	104273	104188	104037	103810	103511	103161	
	55	102620	102711	102812	102921	103031	103140	103250	103368	103498	103636	103779	103914	104028	104114	104166	104185	104170	104111	103997	103819	103586	
	57.5	102406	102503	102628	102764	102896	103018	103124	103223	103323	103429	103540	103651	103752	103835	103896	103938	103959	103957	103924	103850	103735	
